ra_1,dec_1,z_noqso,ssfr_mean_1,age_1,age_mean_1,ssfr_1,z_sf_1,z_1,specobjid_sf,Column1,logMass,logMass_err,logMass_min,logMass_max,objid,ra_2,dec_2,raErr,decErr,zph,zphErr,clean,u,g,r,i,z_2,u_err,g_err,r_err,i_err,z_err,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,bestobjid,ra_spec,dec_spec,zsp,zspErr,veldisp,veldisperr,subclass,instrument,survey,programname,class,ssfr_mean_2,age_2,age_mean_2,ssfr_2,z_sf_2,specObjID,Separation
354.76212,0.16829855,0,-15.306384875122,8.72978115081787,8.73909808376598,-8.90629291534424,0.2761255,0.2761255,433590791059826688,0,11.5899502120988,0.0366746365582952,11.597379212072,11.665408834861,1237663784195129675,354.762140616792,0.168317156769346,0.0115190405538816,0.0096548651198905,0.287099,0.018504,1,20.716,19.91442,18.35007,17.79582,17.50432,0.3678394,0.02857899,0.01239535,0.01056488,0.02838822,0.1440522,0.1122445,0.07765021,0.05770243,0.04292001,1237663784195129675,354.76212,0.16829855,0.2761255,7.594659E-05,233.1406,23.29322,null,SDSS,sdss,legacy,GALAXY,null,null,null,null,null,null,0.0999776656547508
356.06471,0.9463402,0,-2.15581821020431,8.34139156341553,9.09336052993259,-2.15410566329956,0.06157539,0.06157539,433615804949358592,0,10.8814463039701,0.0168153455754403,10.8814463039701,10.9156890220852,1237663278462926959,356.064700110569,0.94635857015778,0.00446952894830147,0.00454584550795538,0.082753,0.020219,1,18.75312,17.3305,16.48771,16.03944,15.74484,0.04523722,0.005657526,0.004196057,0.00419329,0.008467273,0.1174961,0.09155213,0.06333534,0.04706495,0.03500767,1237663278462926959,356.06471,0.9463402,0.06157539,1.733021E-05,131.59,6.311833,null,SDSS,sdss,legacy,GALAXY,null,null,null,null,null,null,0.0751043923590667
355.94633,0.70588377,0,-2.37245050236069,8.58833026885986,8.43863875182237,-2.40664601325989,0.09254625,0.09254625,433618278850521088,0,11.4345489466443,0.018585891903386,11.4058238709014,11.447449816996,1237657191977189579,355.946351009478,0.705856949359686,0.00334543673099274,0.00319637677077338,0.080844,0.008884,1,18.72993,16.64419,15.80891,15.4117,15.10958,0.03728303,0.004389058,0.003312905,0.003387459,0.005971042,0.1182501,0.09213966,0.0637418,0.04736698,0.03523233,1237657191977189579,355.94633,0.70588377,0.09254625,1.836498E-05,234.7727,7.435108,BROADLINE,SDSS,sdss,legacy,GALAXY,null,null,null,null,null,null,0.12264740468667393
355.72468,0.60360959,0,-0.922066008982066,4.83231401443481,4.83231551256415,-0.922291576862335,0.2147606,0.2147606,433622676897032192,0,10.5473768374906,0.0179996368960746,10.5473768374906,10.5473768374906,1237663277925859535,355.724656577701,0.60368702113082,0.0171410961092368,0.014893415258728,0.183339,0.039316,0,20.01676,19.28316,18.74542,18.52838,18.37432,0.05376661,0.01400018,0.012295,0.01552908,0.05915335,0.1114163,0.08681484,0.06005811,0.04462961,0.03319623,1237663277925859535,355.72468,0.60360959,0.2147606,8.244439E-06,104.9762,29.80131,null,SDSS,sdss,legacy,GALAXY,null,null,null,null,null,null,0.29122471885514845
355.98369,0.081199592,0,-15.0572346641922,10.4597663879395,8.73732776483579,-33.0,0.2784462,0.2784462,433636145914472448,0,11.6505540627271,0.0454964380335462,11.646740151631,11.7339541173798,1237663784195653838,355.983680699446,0.0812043979055564,0.00758293086434017,0.00745021196112445,0.305283,0.019156,1,21.78748,19.86105,18.31876,17.78299,17.43731,0.5461957,0.02800652,0.01162849,0.009936604,0.02497891,0.1213443,0.09455065,0.06540971,0.04860642,0.03615425,1237663784195653838,355.98369,0.081199592,0.2784462,6.230514E-05,231.8434,21.81418,null,SDSS,sdss,legacy,GALAXY,null,null,null,null,null,null,0.037687866780154074
356.30065,-0.16240377,0,-3.58710378215637,8.58833026885986,9.44498198012865,-2.40234732627869,0.07993975,0.07993975,434680682044745728,0,11.0101267781639,0.0227941677577299,10.983438871847,11.0254441730054,1237657190903578829,356.300642553178,-0.162415184145869,0.00332863877537577,0.0024724871586191,0.090174,0.012261,1,19.33854,17.59351,16.63978,16.19362,15.86822,0.04732273,0.005647819,0.004317793,0.004164913,0.008085903,0.1725972,0.1344866,0.09303718,0.0691366,0.05142492,1237657190903578829,356.30065,-0.16240377,0.07993975,2.389582E-05,175.3945,8.99654,null,SDSS,sdss,legacy,GALAXY,null,null,null,null,null,null,0.04906278830498226
356.46378,0.93490921,0,-1.14373174347249,6.13574314117432,6.75705813764198,-1.05661308765411,0.07963812,0.07963812,434688378626140160,0,10.4048230668713,0.0296694340473627,10.4048230668713,10.4653142509593,1237663278463058101,356.463769949078,0.934883585351247,0.0597084262081467,0.0317576947140787,0.088395,0.023093,1,18.81919,17.73974,17.21836,16.89664,16.68488,0.04541373,0.007744749,0.007375191,0.00749206,0.02083774,0.1273181,0.09920537,0.06862982,0.05099931,0.03793412,1237663278463058101,356.46378,0.93490921,0.07963812,8.724276E-06,73.36147,34.52657,STARFORMING,SDSS,sdss,legacy,GALAXY,null,null,null,null,null,null,0.09908942037621085
357.09836,0.17044029,0,-1.09650013097083,6.58355951309204,6.58356272619577,-1.09648907184601,0.02311474,0.02311474,434705146178463744,0,8.82642809568077,0.0173116768876833,8.82642809568077,8.82642809568077,1237663784196112614,357.09838200466,0.170494199917126,0.0704258885273179,0.0529238273423607,0.025092,0.012759,0,18.59235,17.97503,17.74486,17.69261,17.62012,0.04841363,0.01218517,0.01415781,0.01716756,0.08816828,0.1348788,0.1050966,0.07270537,0.05402788,0.04018681,1237663784196112614,357.09836,0.17044029,0.02311474,6.580989E-06,0,36.87674,STARBURST,SDSS,sdss,legacy,GALAXY,null,null,null,null,null,null,0.20962018035800847
354.6546,-0.46955163,0,-1.16674747227072,6.72416877746582,7.05794424295963,-1.14135718345642,0.03565883,0.03565883,433543512059832320,0,10.296593772213,0.00975611332215155,10.2964558732082,10.3045490264071,1237666407366328446,354.654549957893,-0.46956935389076,0.00608626486730417,0.00522689630128453,0.037652,0.015929,0,17.63416,16.69792,16.09176,15.73587,15.44579,0.03348313,0.004875252,0.004183815,0.004194709,0.008835524,0.1312012,0.1022311,0.070723,0.05255477,0.03909109,1237666407366328446,354.6546,-0.46955163,0.03565883,1.079262E-05,57.03645,8.360537,AGN,SDSS,sdss,legacy,GALAXY,null,null,null,null,null,null,0.19111153944356468
354.72886,0.29381629,0,-1.97646433480111,8.08847904205322,8.7784734774831,-1.94861853122711,0.09045941,0.09045941,433576497408665600,0,10.6844921163432,0.0324856501716427,10.6563992439933,10.7194943119843,1237666408440135776,354.728858283261,0.293851635196734,0.00658461133470427,0.0082261831706857,0.098502,0.014539,0,20.56583,18.59801,17.63185,17.26772,16.87053,0.1398514,0.01021741,0.007298447,0.006815736,0.01710417,0.1592138,0.1240583,0.08582298,0.06377567,0.04743738,1237666408440135776,354.72886,0.29381629,0.09045941,3.351914E-05,83.87811,10.89893,null,SDSS,sdss,legacy,GALAXY,null,null,null,null,null,null,0.12739270550031334
