ra,dec,z_noqso,ssfr_mean,age,age_mean,ssfr,z_sf,z,specobjid_sf,Column1,logMass,logMass_err,logMass_min,logMass_max
356.54837,0.9882692,0,-7.28270884443829,8.16641712188721,9.57292201200623,-2.53481006622314,0.09096501,0.09096501,434687004236605440,0,10.7471463096734,0.0275814602122443,10.7113617409924,10.7624776493573
357.42491,0.92149838,0,-1.08696427435859,6.13574314117432,6.27960252664402,-1.06042635440826,0.09786896,0.09786896,434711193492416512,0,10.4879624925646,0.0300614515416347,10.4375479516798,10.4879624925646
358.92208,0.65895638,0,-1.2638777214593,7.05572843551636,7.3982481526882,-1.24139904975891,0.07284714,0.07284714,434768917852874752,0,10.4440549984511,0.015327306858635,10.4395602313726,10.4579118779899
359.00704,0.35809113,0,-1.2046926751283,6.55772686004639,7.11740180849919,-1.19132149219513,0.06232461,0.06232461,434771941509851136,0,10.972316758834,0.0141305459177578,10.972316758834,11.008469753399
359.38992,-1.2171903,0,-11.7645007547633,8.25232982635498,9.10569525318983,-4.15375185012817,0.1872517,0.1872517,435779643967039488,0,11.4689221811393,0.0206595482146259,11.4734752367978,11.5099930065539
359.59372,-1.1828502,0,-1.63831776636272,7.93071937561035,8.24790332572355,-1.58589065074921,0.0638703,0.0638703,435779918844946432,0,10.6613216076016,0.0191159018166021,10.6298197188365,10.6681815481371
359.26102,-1.2106608,0,-1.1306687950593,6.13574314117432,6.67448565447811,-1.05661308765411,0.08155095,0.08155095,435792838106572800,0,10.3276484391963,0.0215041563073691,10.3207150382383,10.3572926434736
359.42195,-0.59998405,0,-1.03230880402303,5.69453907012939,5.81677515264637,-1.01696646213531,0.1106627,0.1106627,435800259810060288,0,10.261749048473,0.0253801561137268,10.2165357966159,10.261749048473
359.14384,0.55002892,0,-1.70284725113492,9.1248664855957,8.81989737204333,-1.57385158538818,0.02308073,0.02308073,435817851996104704,0,8.95633742072518,0.10193817887355,8.86705469206223,8.97968917068859
350.27904,-0.18450979,0,-1.91547006997839,6.65352916717529,6.78963356920795,-1.95642268657684,0.2515973,0.2515973,764496243752724480,0,11.4779426490043,0.0244843805965025,11.4779426490043,11.5097945129156
350.4412,-1.0726836,0,-1.02600222930264,5.69453907012939,5.79393000478178,-1.01098895072937,0.1133964,0.1133964,765672446702413824,0,10.1061074060842,0.0251308932612773,10.1061074060842,10.145929731179
351.09222,0.32027297,0,-17.0495698638428,11.3898448944092,10.1868432874999,-11.6769390106201,0.1478207,0.1478207,765752436173334528,0,10.8166959347441,0.0304139052506187,10.7657128636822,10.8247704832332
350.9692,1.0066803,0,-1.04332962623187,5.26003503799438,5.62549129422118,-0.971802473068237,0.2160821,0.2160821,765756834219845632,0,10.4335601789629,0.059015473369088,10.3431548867711,10.453574881338
351.23319,1.2335983,0,-13.8968306952197,7.79970216751099,8.27514182986373,-33,0.3400106,0.3400106,765767279580309504,0,11.5238975162786,0.0484067331160211,11.5223981669287,11.6106416807375
353.77679,-0.93406648,0,-1.06965413655481,5.26003503799438,5.87223629166544,-0.965798258781433,0.1955337,0.1955337,766741171987834880,0,11.1541976758992,0.031281479975687,11.1397791889853,11.1957387246791
353.76762,-0.19044926,0,-1.12992276104925,6.13574314117432,6.66282673952413,-1.05661308765411,0.07006988,0.07006988,766748868569229312,0,9.99853646481854,0.03171683069661,10.0007891149255,10.0532662097496
353.28963,-1.2005602,0,-14.9982604391599,9.18515682220459,10.4623980358107,-6.35627746582031,0.0931617,0.0931617,766749968080857088,0,10.6354891603767,0.0233726811007036,10.6528304504251,10.6996343432895
353.48679,-0.5996795,0,-1.05762083243351,6.13574314117432,6.13574314118352,-1.05832493305206,0.08690473,0.08690473,766756840028530688,0,10.0919460031175,0.018879836641137,10.0522062854228,10.0919460031175
352.65359,-0.18378711,0,-2.34648562410185,8.34139156341553,8.07117770750702,-2.15175986289978,0.1761156,0.1761156,766782953429690368,0,11.3197385245371,0.0406889742164119,11.2591808492683,11.3430865271579
351.97148,-0.57959359,0,-7.06343560878195,7.70202589035034,7.63576892131415,-2.02860450744629,0.3207904,0.3207904,766799995859920896,0,11.7254383856472,0.0614028757745992,11.6169138365914,11.7357992668507
352.13086,-0.68385426,0,-1.16373012266227,5.26003503799438,6.23454456065149,-0.965798258781433,0.1970916,0.1970916,766800820493641728,0,10.4169104571019,0.0535197468572312,10.384913323274,10.4848718124781
